,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Grand Gaube,MU,78.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
426,Sur,OM,84.87,broken clouds,22.5667,59.5289,Sur Plaza Hotel
427,Riachao Das Neves,BR,81.97,overcast clouds,-11.7461,-44.91,Casa Costa
428,Asyut,EG,96.8,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
429,Sharjah,AE,84.99,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
431,Paso De Carrasco,UY,73.4,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
432,Dabakala,CI,86.47,broken clouds,8.3667,-4.4333,Hôtel Campement
433,Manokwari,ID,77.83,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
435,Ikere,NG,74.86,moderate rain,7.4913,5.2322,Inisa Gardens Hotel & Events Centre
436,Jibuti,DJ,77.7,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
439,Prudentopolis,BR,73.35,clear sky,-25.2131,-50.9778,Mayná Palace Hotel
440,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Bungalow 63
443,Labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
445,Quelimane,MZ,80.6,clear sky,-17.8786,36.8883,Hotel Flamingo
448,Ilam,NP,67.33,overcast clouds,26.9167,87.9167,चियाबारी कटेज
449,Gull Lake,CA,73.4,clear sky,50.1001,-108.4847,Campbell's Accommodations
451,Galveston,US,73.4,broken clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
452,Marsh Harbour,BS,79.65,clear sky,26.5412,-77.0636,Abaco Beach Resort
453,Athabasca,CA,66.2,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
454,Porto Belo,BR,75.2,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
455,Sarangani,PH,82.78,overcast clouds,5.4033,125.4636,Ballistic Islet
456,Sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
460,Xai-Xai,MZ,74.84,light rain,-25.0519,33.6442,Complexo da Familia
461,Dicabisagan,PH,75.31,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
462,Lengshuijiang,CN,67.46,overcast clouds,27.6881,111.4294,Sheraton
463,Paso De Los Toros,UY,73.4,clear sky,-32.8167,-56.5167,Complejo Isabelino
464,Bintulu,MY,75.2,light rain,3.1667,113.0333,900 Boutique INN
467,Japura,ID,71.31,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
468,Fare,PF,80.47,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
